size_MB,latency_ns
0.00049,1.166
0.00098,1.166
0.00195,1.166
0.00293,1.166
0.00391,1.166
0.00586,1.166
0.00781,1.166
0.01172,1.166
0.01562,1.166
0.02344,1.166
0.03125,1.166
0.04688,1.210
0.06250,2.026
0.09375,2.647
0.12500,2.277
0.18750,2.058
0.25000,1.949
0.37500,1.840
0.50000,1.797
0.75000,1.924
1.00000,1.846
1.50000,2.103
2.00000,2.201
3.00000,2.265
4.00000,2.262
6.00000,2.267
8.00000,2.608
12.00000,3.639
16.00000,4.558
24.00000,5.809
32.00000,6.257
48.00000,6.663
64.00000,6.818
96.00000,6.921
128.00000,6.930
192.00000,6.987
256.00000,6.874
384.00000,7.064
512.00000,6.863
768.00000,6.825
1024.00000,6.946
1536.00000,6.974
2048.00000,6.951
3072.00000,6.944
4096.00000,6.941
6144.00000,6.844
8192.00000,6.965
12288.00000,6.875
16384.00000,6.932
